index1	index2	LSA	lag	p.valueBound
Otu0021	Otu0295	0.784178	0	0
Otu0030	Otu0244	0.752652	0	0.000449657
Otu0042	Otu0732	0.844693	0	0
Otu0044	Otu0295	0.756366	0	0.000430107
Otu0143	Otu4239	0.86438	0	0
Otu0143	Otu5264	0.872034	0	0
Otu0338	Otu0538	0.777313	0	0.000381231
Otu0338	Otu1082	0.781297	0	0
Otu0338	Otu1757	0.851099	0	0
Otu0456	Otu0553	0.771235	0	0.000395894
Otu0538	Otu0658	0.86391	0	0
Otu0538	Otu1082	0.83002	0	0
Otu0538	Otu1680	0.763158	0	0.000410557
Otu0538	Otu1757	0.776225	0	0.000381231
Otu0595	Otu0732	0.75353	0	0.000439882
Otu0595	Otu1082	0.818823	0	0
Otu0658	Otu1082	0.788218	0	0
Otu0735	Otu0795	0.836202	0	0
Otu0735	Otu4605	0.807038	0	0
Otu0795	Otu4605	0.82853	0	0
Otu0813	Otu1206	0.779247	0	0.000376344
Otu0891	Otu5264	0.782116	0	0
Otu1082	Otu1680	0.783816	0	0
Otu1082	Otu1757	0.841269	0	0
Otu1680	Otu1748	0.754709	0	0.000439882
Otu2139	Otu5405	0.838589	0	0
Otu4239	Otu5264	0.939578	0	0
