index1	index2	LSA	lag	p.valueBound
Otu0006	Otu0009	0.760456	0	0
Otu0009	Otu0059	0.827757	0	0
Otu0009	Otu0962	0.809481	0	0
Otu0009	Otu4990	0.776735	0	0
Otu0016	Otu0805	0.766775	0	0
Otu0027	Otu1362	0.883275	0	0
Otu0027	Otu1792	0.793812	0	0
Otu0027	Otu2294	0.777015	0	0
Otu0027	Otu4475	0.808069	0	0
Otu0034	Otu0079	0.835332	0	0
Otu0034	Otu0197	0.828661	0	0
Otu0034	Otu0280	0.827639	0	0
Otu0034	Otu0311	0.830014	0	0
Otu0034	Otu0394	0.86001	0	0
Otu0034	Otu0450	0.792391	0	0
Otu0034	Otu0678	0.76943	0	0
Otu0034	Otu0923	0.834453	0	0
Otu0034	Otu1182	0.876777	0	0
Otu0034	Otu1199	0.844024	0	0
Otu0034	Otu1407	0.847225	0	0
Otu0034	Otu1481	0.765919	0	0
Otu0034	Otu3276	0.85129	0	0
Otu0034	Otu5885	0.858929	0	0
Otu0038	Otu0257	0.805381	0	0
Otu0038	Otu1031	0.806138	0	0
Otu0038	Otu1380	0.812208	0	0
Otu0045	Otu0088	0.782165	0	0
Otu0045	Otu0803	0.77005	0	0
Otu0045	Otu1380	0.774832	0	0
Otu0053	Otu0079	0.778242	0	0
Otu0053	Otu0280	0.822938	0	0
Otu0053	Otu0311	0.827115	0	0
Otu0053	Otu0394	0.801868	0	0
Otu0053	Otu0450	0.770308	0	0
Otu0053	Otu1182	0.791563	0	0
Otu0053	Otu1199	0.765756	0	0
Otu0053	Otu1407	0.79103	0	0
Otu0053	Otu3276	0.780051	0	0
Otu0053	Otu5885	0.790046	0	0
Otu0059	Otu0962	0.770361	0	0
Otu0059	Otu4990	0.783923	0	0
Otu0079	Otu0197	0.844867	0	0
Otu0079	Otu0280	0.930121	0	0
Otu0079	Otu0311	0.916392	0	0
Otu0079	Otu0394	0.934439	0	0
Otu0079	Otu0450	0.865626	0	0
Otu0079	Otu0678	0.817638	0	0
Otu0079	Otu0923	0.830819	0	0
Otu0079	Otu1182	0.928127	0	0
Otu0079	Otu1199	0.906875	0	0
Otu0079	Otu1407	0.924285	0	0
Otu0079	Otu1481	0.815883	0	0
Otu0079	Otu3276	0.910363	0	0
Otu0079	Otu5885	0.939551	0	0
Otu0140	Otu0141	0.760725	0	0
Otu0141	Otu2173	0.776632	0	0
Otu0197	Otu0280	0.854486	0	0
Otu0197	Otu0311	0.856909	0	0
Otu0197	Otu0394	0.886341	0	0
Otu0197	Otu0450	0.808648	0	0
Otu0197	Otu0678	0.766775	0	0
Otu0197	Otu0923	0.822987	0	0
Otu0197	Otu1182	0.893424	0	0
Otu0197	Otu1199	0.90949	0	0
Otu0197	Otu1407	0.867642	0	0
Otu0197	Otu1481	0.76552	0	0
Otu0197	Otu3276	0.876016	0	0
Otu0197	Otu5885	0.882563	0	0
Otu0205	Otu0568	0.794748	0	0
Otu0215	Otu4325	0.838545	0	0
Otu0252	Otu0364	0.803042	0	0
Otu0257	Otu1031	0.823439	0	0
Otu0280	Otu0311	0.951334	0	0
Otu0280	Otu0394	0.95871	0	0
Otu0280	Otu0450	0.893049	0	0
Otu0280	Otu0678	0.789375	0	0
Otu0280	Otu0923	0.813133	0	0
Otu0280	Otu1182	0.95088	0	0
Otu0280	Otu1199	0.92319	0	0
Otu0280	Otu1407	0.934555	0	0
Otu0280	Otu1481	0.811785	0	0
Otu0280	Otu3276	0.933463	0	0
Otu0280	Otu5885	0.954956	0	0
Otu0311	Otu0394	0.957806	0	0
Otu0311	Otu0450	0.892404	0	0
Otu0311	Otu0678	0.787078	0	0
Otu0311	Otu0923	0.818177	0	0
Otu0311	Otu1182	0.953905	0	0
Otu0311	Otu1199	0.92361	0	0
Otu0311	Otu1407	0.942251	0	0
