index1	index2	LSA	lag	p.valueBound
Otu0005	Otu0394	0.768666	0	0
Otu0005	Otu0891	0.832233	0	0
Otu0005	Otu3305	0.776518	0	0
Otu0005	Otu4994	0.753503	0	0
Otu0008	Otu0199	0.845026	0	0
Otu0008	Otu0943	0.754996	0	0
Otu0017	Otu0021	0.761394	0	0
Otu0017	Otu0393	0.767126	0	0
Otu0021	Otu0393	0.806035	0	0
Otu0021	Otu5550	0.797318	0	0
Otu0034	Otu5395	0.779054	0	0
Otu0039	Otu0050	0.81415	0	0
Otu0042	Otu0131	0.75012	0	0
Otu0045	Otu1291	0.790487	0	0
Otu0045	Otu1905	0.769613	0	0
Otu0045	Otu4710	0.784677	0	0
Otu0045	Otu6240	0.781485	0	0
Otu0047	Otu0488	0.777414	0	0
Otu0050	Otu1390	0.798461	0	0
Otu0058	Otu0424	0.80951	0	0
Otu0058	Otu0606	0.753805	0	0
Otu0058	Otu0679	0.771139	0	0
Otu0058	Otu0923	0.764493	0	0
Otu0058	Otu1207	0.851058	0	0
Otu0058	Otu1477	0.857302	0	0
Otu0058	Otu5162	0.842896	0	0
Otu0059	Otu0331	0.892206	0	0
Otu0059	Otu0634	0.769816	0	0
Otu0059	Otu0707	0.805204	0	0
Otu0059	Otu0959	0.834172	0	0
Otu0059	Otu5076	0.810503	0	0
Otu0059	Otu6174	0.776285	0	0
Otu0079	Otu5941	0.820776	0	0
Otu0108	Otu0184	0.76388	0	0
Otu0172	Otu1250	0.835816	0	0
Otu0184	Otu0813	0.771851	0	0
Otu0190	Otu0923	0.753231	0	0
Otu0198	Otu0325	0.782801	0	0
Otu0199	Otu0212	0.780013	0	0
Otu0199	Otu0218	0.83734	0	0
Otu0199	Otu0904	0.763428	0	0
Otu0199	Otu0943	0.754036	0	0
Otu0212	Otu0218	0.778494	0	0
Otu0212	Otu0904	0.796219	0	0
Otu0212	Otu5453	0.771312	0	0
Otu0230	Otu0813	0.777973	0	0
Otu0230	Otu0891	0.757546	0	0
Otu0230	Otu1008	0.775451	0	0
Otu0230	Otu3305	0.809807	0	0
Otu0231	Otu3400	0.78981	0	0
Otu0322	Otu0739	0.77368	0	0
Otu0331	Otu0634	0.848244	0	0
Otu0331	Otu0707	0.856167	0	0
Otu0331	Otu0959	0.848828	0	0
Otu0331	Otu3642	0.811483	0	0
Otu0331	Otu5076	0.778504	0	0
Otu0331	Otu6174	0.865882	0	0
Otu0370	Otu3724	0.775618	0	0
Otu0393	Otu1220	0.858632	0	0
Otu0394	Otu3642	0.801819	0	0
Otu0424	Otu1207	0.81346	0	0
Otu0426	Otu1220	0.767259	0	0
Otu0449	Otu0752	0.844973	0	0
Otu0466	Otu0752	0.762316	0	0
Otu0472	Otu0522	0.791227	0	0
Otu0541	Otu0606	0.759248	0	0
Otu0541	Otu0679	0.819032	0	0
Otu0541	Otu1013	0.79669	0	0
Otu0541	Otu1207	0.828004	0	0
Otu0606	Otu0679	0.789451	0	0
Otu0606	Otu1207	0.808422	0	0
Otu0634	Otu0707	0.895151	0	0
Otu0634	Otu0959	0.828281	0	0
Otu0634	Otu3642	0.818259	0	0
Otu0634	Otu6174	0.882542	0	0
Otu0649	Otu5895	0.819278	0	0
Otu0679	Otu1207	0.831953	0	0
Otu0707	Otu0959	0.854979	0	0
Otu0707	Otu3642	0.838826	0	0
Otu0707	Otu6174	0.870431	0	0
Otu0719	Otu5490	0.87837	0	0
Otu0735	Otu0891	0.811153	0	0
Otu0735	Otu1206	0.871046	0	0
Otu0735	Otu4994	0.812606	0	0
Otu0813	Otu0891	0.767928	0	0
Otu0813	Otu3305	0.889893	0	0
Otu0891	Otu3305	0.836028	0	0
Otu0891	Otu4994	0.769547	0	0
Otu0959	Otu1176	0.770941	0	0
Otu0959	Otu6174	0.783006	0	0
Otu1008	Otu3305	0.750159	0	0
Otu1207	Otu1477	0.792367	0	0
Otu1207	Otu5162	0.791772	0	0
Otu1259	Otu1823	0.770456	0	0
Otu1291	Otu4710	0.780258	0	0
Otu1291	Otu5128	0.762953	0	0
Otu1477	Otu5162	0.790095	0	0
Otu1823	Otu3275	0.780021	0	0
Otu1823	Otu4605	0.77884	0	0
Otu1905	Otu6240	0.838747	0	0
Otu3275	Otu3305	0.755734	0	0
Otu3642	Otu6174	0.800431	0	0
Otu3724	Otu5390	0.783533	0	0
Otu4710	Otu5128	0.765483	0	0
Otu4710	Otu6240	0.900442	0	0
Otu5128	Otu6240	0.791844	0	0
