index1	index2	LSA	lag	p.valueBound
Otu0001	Otu1106	0.897271	0	0
Otu0001	Otu3860	0.76065	0	0
Otu0002	Otu0045	0.789609	0	0
Otu0039	Otu0214	0.820324	0	0
Otu0046	Otu0282	0.779849	0	0
Otu0054	Otu0282	0.847069	0	0
Otu0055	Otu0390	0.918467	0	0
Otu0055	Otu0488	0.93274	0	0
Otu0055	Otu0941	0.896496	0	0
Otu0055	Otu1473	0.812702	0	0
Otu0069	Otu1748	0.764136	0	0
Otu0075	Otu0231	0.800002	0	0
Otu0075	Otu1472	0.781943	0	0
Otu0079	Otu0739	0.888112	0	0
Otu0079	Otu4195	0.881693	0	0
Otu0081	Otu0530	0.78402	0	0
Otu0088	Otu0370	0.784346	0	0
Otu0122	Otu0520	0.755682	0	0
Otu0136	Otu0179	0.936788	0	0
Otu0213	Otu1202	0.808038	0	0
Otu0213	Otu3212	0.803897	0	0
Otu0214	Otu0338	0.753037	0	0
Otu0214	Otu0914	0.803038	0	0
Otu0231	Otu1472	0.807458	0	0
Otu0237	Otu0941	0.778514	0	0
Otu0275	Otu2171	0.752207	0	0
Otu0300	Otu1408	0.789371	0	0
Otu0319	Otu1411	0.84155	0	0
Otu0319	Otu2534	0.751704	0	0
Otu0319	Otu3212	0.842716	0	0
Otu0319	Otu4529	0.808778	0	0
Otu0331	Otu0685	0.828674	0	0
Otu0347	Otu1211	0.809451	0	0
Otu0390	Otu0488	0.976336	0	0
Otu0390	Otu0941	0.858401	0	0
Otu0390	Otu1473	0.851745	0	0
Otu0433	Otu0950	0.871494	0	0
Otu0470	Otu0900	0.754391	0	0
Otu0488	Otu0941	0.86971	0	0
Otu0488	Otu1473	0.846259	0	0
Otu0535	Otu2372	0.761995	0	0
Otu0634	Otu1414	0.819005	0	0
Otu0685	Otu5843	0.785142	0	0
Otu0719	Otu1276	0.775816	0	0
Otu0719	Otu5317	0.760857	0	0
Otu0739	Otu4195	0.985429	0	0
Otu0780	Otu6114	0.78906	0	0
Otu0813	Otu3305	0.809817	0	0
Otu1106	Otu3860	0.874776	0	0
Otu1122	Otu1414	0.903465	0	0
Otu1180	Otu4824	0.761411	0	0
Otu1202	Otu3212	0.823483	0	0
Otu1258	Otu1264	0.825352	0	0
Otu1264	Otu5264	0.76234	0	0
Otu1394	Otu1679	0.780976	0	0
Otu1394	Otu3879	0.906738	0	0
Otu1411	Otu3212	0.845998	0	0
Otu1484	Otu5841	0.844751	0	0
Otu1484	Otu6113	0.869374	0	0
Otu1679	Otu3879	0.844117	0	0
Otu1862	Otu2565	0.77029	0	0
Otu1862	Otu3972	0.777376	0	0
Otu3065	Otu4209	0.755859	0	0
Otu3821	Otu5128	0.791748	0	0
Otu5841	Otu6113	0.85134	0	0
