"","Kingdom","Phylum","Class","Order","Lineage","Clade","Tribe"
"654552","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__","s__"
"650940","k__Bacteria","p__Chlorobi","c__BSV26","o__VC38","f__","g__","s__"
"630853","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__MIZ46","f__","g__","s__"
"659471","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__","s__"
"637417","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__","s__"
"646059","k__Bacteria","p__Armatimonadetes","c__SJA-176","o__GAB-B06","f__","g__","s__"
"649138","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__","s__"
"653196","k__Bacteria","p__Chlamydiae","c__Chlamydiia","o__Chlamydiales","f__Parachlamydiaceae","g__CandidatusProtochlamydia","s__"
"639859","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__","s__"
"614617","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__WCHB1-50","f__","g__","s__"
"641303","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","unclassified","unclassified","unclassified"
"646903","k__Bacteria","p__OD1","c__ZB2","o__","f__","g__","s__"
"652856","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Microbacteriaceae","unclassified","unclassified"
"650736","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"643584","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Procabacteriales","f__Procabacteriaceae","g__","s__"
"474168","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"641235","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__"
"646480","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"608380","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","unclassified","unclassified"
"652414","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__","s__"
"656438","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","unclassified","unclassified","unclassified"
"660074","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","alfI","alfI-B","unclassified"
"652225","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__CandidatusXiphinematobacter","s__"
"646753","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__"
"658568","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__","s__"
"657805","k__Bacteria","p__OP3","c__koll11","o__GIF10","f__","g__","s__"
"659466","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","g__","s__"
"655893","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Koribacteraceae","g__CandidatusKoribacter","s__"
"656311","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","acI","acI-B","acI-B3"
"657422","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__"
"628228","k__Bacteria","p__OP3","c__koll11","o__GIF10","f__","g__","s__"
"604794","k__Bacteria","p__WS5","c__","o__","f__","g__","s__"
"621640","k__Bacteria","p__Bacteroidetes","unclassified","unclassified","unclassified","unclassified","unclassified"
"659278","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","acV","acV-A","acV-A1"
"654564","k__Bacteria","p__Bacteroidetes","unclassified","unclassified","unclassified","unclassified","unclassified"
"605481","k__Bacteria","p__GN02","c__GKS2-174","o__","f__","g__","s__"
"650434","k__Bacteria","p__TM6","c__SJA-4","o__","f__","g__","s__"
