"","Phi","% of Community"
"Acidobacteria",0.556844843588448,0.540076217942116
"Proteobacteria;Betaproteobacteria;Methylophilales",0.553211519266101,0.694250695231229
"Acidobacteria;Holophagae",0.546628874662848,0.49260685961479
"Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae",0.416376096550231,0.198347924606036
"Acidobacteria;Acidobacteriia",0.362914198239273,0.0214605005664847
"Proteobacteria;Gammaproteobacteria;Methylococcales;gamI",0.341286246609978,0.356592851992996
"Chlorobi;Chlorobia",0.338074704986004,0.139581831290555
"Proteobacteria",0.336913126472855,7.43046657740241
"Bacteroidetes;Saprospirae;Saprospirales;bacI;bacI-B",0.326540993252426,0.0264538057472448
"Verrucomicrobia;Methylacidiphilae;S-BQ2-57",0.30860623636695,0.0443094036461016
