"","s.1","s.2","s.3","index","stat","p.value"
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-B;bacI-B1",0,1,0,2,0.289997876764903,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Luna1;Luna1-A;Luna1-A2",0,0,1,3,0.261026597496624,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;alfIII;alfIII-A;Sphingo",0,0,1,3,0.131383323117685,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-B;alfI-B2",0,0,1,3,0.331826099777358,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-B;Rhodo",0,1,1,6,0.267056464425901,1e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;gamII;gamII-A;gamII-A1",1,0,0,1,0.186584260142278,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A;bacI-A1",1,1,0,4,0.418762727806478,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;alfV;alfV-A;LD12",0,1,1,6,0.0836489433596909,0.0137
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betII;Pnec;PnecC",0,1,0,2,0.289622575730008,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betVII;betVII-B;betVII-B1",0,0,1,3,0.141513949487689,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betIII;betIII-A;betIII-A1",1,0,0,1,0.359421104461825,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A1",1,0,0,1,0.492858468067706,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;alfIV;alfIV-A;Novo-A2",1,0,1,5,0.226068688866099,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B;acI-B3",1,0,0,1,0.671926843047061,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B;acI-B2",1,1,0,4,0.497878088887895,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betIII;betIII-A;betIII-A1.1",0,0,1,3,0.218408208425873,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-B;alfI-B2.1",0,0,1,3,0.36665359170766,1e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;gamIII;gamIII-A;Acin",1,0,1,5,0.0672877375267341,0.0334
