,Polymictic,Dimictic,Meromictic,index,IndicatorValue,p.value
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B;acI-B3,1,0,0,1,0.671926843,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B;acI-B31,1,0,0,1,0.670370101,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B,1,0,0,1,0.625818895,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI,1,0,0,1,0.596510427,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__CandidatusXiphinematobacter,1,0,0,1,0.596295886,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A,1,0,0,1,0.590979632,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae],1,0,0,1,0.56841634,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales],1,0,0,1,0.551340898,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria],1,0,0,1,0.551340898,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A4,1,0,0,1,0.540494215,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A41,1,0,0,1,0.540494215,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,1,0,0,1,0.52555396,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria,1,0,0,1,0.522778848,1.00E-04
k__Bacteria;p__Actinobacteria,1,0,0,1,0.512213987,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A1,1,0,0,1,0.492858468,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A11,1,0,0,1,0.492858468,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B;acI-B41,1,0,0,1,0.485707231,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-B;alfI-B1.1,1,0,0,1,0.47238856,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-B;alfI-B11,1,0,0,1,0.471026275,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium,1,0,0,1,0.439617573,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae,1,0,0,1,0.439617573,1.00E-04
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;acV;acV-A;acV-A1.1,1,0,0,1,0.428711484,1.00E-04
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A,1,0,0,1,0.419373745,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI,1,0,0,1,0.4047165,1.00E-04
k__Bacteria;p__Verrucomicrobia,1,0,0,1,0.38203868,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,1,0,0,1,0.381119841,1.00E-04
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI,1,0,0,1,0.372525334,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;betIV,1,0,0,1,0.372338145,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,1,0,0,1,0.362308563,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betIII;betIII-A;betIII-A1,1,0,0,1,0.359421104,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-A;Phila,1,0,0,1,0.35335519,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-A;Phila1,1,0,0,1,0.35335519,1.00E-04
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A;bacI-A11,1,0,0,1,0.347455037,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales;f__Procabacteriaceae,1,0,0,1,0.347079973,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales,1,0,0,1,0.34656048,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI-A,1,0,0,1,0.340560593,1.00E-04
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A;bacI-A3,1,0,0,1,0.331449589,1.00E-04
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A;bacI-A31,1,0,0,1,0.331449589,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;betIV;betIV-A;LD28,1,0,0,1,0.323758311,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;betIV;betIV-A;LD281,1,0,0,1,0.323758311,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,1,0,0,1,0.314366054,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-A;alfI-A1,1,0,0,1,0.312191577,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-A;alfI-A11,1,0,0,1,0.312075344,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-A,1,0,0,1,0.312075344,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium,1,0,0,1,0.299812709,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;betIV;betIV-A,1,0,0,1,0.296211001,1.00E-04
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae];g__Fimbriimonas,1,0,0,1,0.221199469,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;alfIV;alfIV-B,1,0,0,1,0.216835415,1.00E-04
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales,1,0,0,1,0.210498146,1.00E-04
k__Bacteria;p__Fusobacteria;c__Fusobacteriia,1,0,0,1,0.210498146,1.00E-04
k__Bacteria;p__Fusobacteria,1,0,0,1,0.210498146,1.00E-04
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__u114,1,0,0,1,0.210149955,1.00E-04
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae,1,0,0,1,0.210109632,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,1,0,0,1,0.202044111,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A2.1,1,0,0,1,0.20064053,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betIII;betIII-A,1,0,0,1,0.197216883,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betIII,1,0,0,1,0.197216883,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;gamII;gamII-A,1,0,0,1,0.196016184,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;gamII,1,0,0,1,0.196016184,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betIII;betIII-A;betIII-A11,1,0,0,1,0.195618931,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;gamII;gamII-A;gamII-A1,1,0,0,1,0.18658426,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;gamII;gamII-A;gamII-A11,1,0,0,1,0.176042792,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1,1,0,0,1,0.176007602,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betII;Pnec;PnecA,1,0,0,1,0.175219437,1.00E-04
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae],1,0,0,1,0.165932353,1.00E-04
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales],1,0,0,1,0.165932353,1.00E-04
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],1,0,0,1,0.165932353,1.00E-04
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;s__aurantia1,1,0,0,1,0.164774028,1.00E-04
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta,1,0,0,1,0.164774028,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;alfIV,1,0,0,1,0.149152175,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;gamII;gamII-A;gamII-A2,1,0,0,1,0.13598923,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;gamII;gamII-A;gamII-A21,1,0,0,1,0.13598923,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae,1,0,0,1,0.10908186,4.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales,1,0,0,1,0.10908186,4.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales,1,0,0,1,0.093709898,0.0013
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae,1,0,0,1,0.073780936,0.0319
