"","Phi","% of Community"
"Planctomycetes",0.722156859313336,0.087271603666701
"Chloroflexi",0.617544207615158,0.0455906890513956
"Proteobacteria;Deltaproteobacteria;Syntrophobacterales",0.583751504963291,0.129516943042538
"Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae",0.55356348558546,0.0259594190956844
"OP3",0.551190410921908,0.0814048820681842
"TM6",0.548708057940832,0.0224451539808425
"Actinobacteria;Actinobacteria;Actinomycetales;acTH2",0.522838835881343,0.069061695334226
"Chloroflexi;Anaerolineae",0.519862708093394,0.0244762591410032
"Verrucomicrobia;Verruco-5",0.50372153992206,0.0529529302708827
"Actinobacteria;Thermoleophilia",0.478531941477811,0.0219342877742301
