"","s.1","s.2","s.3","s.4","s.5","s.6","index","stat","p.value"
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-B;bacI-B1",1,0,0,0,1,1,31,0.398110176669562,0.003
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;alfIII;alfIII-A;Sphingo",0,0,1,1,1,1,56,0.239096266486048,0.1258
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-B;alfI-B2",1,0,0,0,0,1,11,0.425515933536023,0.0016
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-B;Rhodo",1,1,0,0,0,0,7,0.466607601067359,3e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A;bacI-A1",0,0,0,0,0,1,6,0.671460902594003,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betII;Pnec;PnecC",1,1,0,0,0,1,25,0.437217998420969,3e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betIII;betIII-A;betIII-A1",0,1,1,1,1,0,52,0.372342271485824,0.0044
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A1",0,0,0,0,0,1,6,0.761935610884006,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B;acI-B3",0,0,0,0,0,1,6,0.549639711972177,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B;acI-B2",1,0,0,0,0,1,11,0.518774807787589,3e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betIII;betIII-A;betIII-A1.1",1,1,1,0,0,0,22,0.435830415821311,5e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;gamIII;gamIII-A;Acin",0,1,1,0,1,1,54,0.162260718910701,0.5425
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-A;Phila",0,0,0,0,0,1,6,0.55499316703532,1e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__veronii",0,1,1,0,0,0,12,0.310372729286139,0.0208
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A;bacI-A2",0,1,1,1,1,0,52,0.350894100988484,0.007
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A;bacI-A3",0,1,1,1,1,0,52,0.290849527413788,0.0351
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__putealis",0,1,1,1,0,0,32,0.23785522559243,0.1467
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Telmatospirillum;s__siberiense",0,0,1,1,1,0,38,0.398664375425549,0.0019
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;gamIII;gamIII-A;Acin.1",0,0,0,1,0,0,4,0.256195808702974,0.0689
"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;bacVI;bacVI-A;Muci",0,1,1,1,1,0,52,0.260390053701086,0.0745
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A4",0,0,0,0,0,1,6,0.601300135947514,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-A;alfI-A1",1,0,0,0,0,1,11,0.62242543166637,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-B;bacI-B1.1",0,0,0,0,0,1,6,0.640033201925548,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;betIV;betIV-A;LD28",1,0,0,0,0,1,11,0.414142140871871,0.0011
