sampledate,year4,month,daynum,depth,wtemp,flag_wtemp
2005-05-28,2005,5,148,0.00,17.561,
2005-05-28,2005,5,148,0.25,16.772,
2005-05-28,2005,5,148,0.50,17.460,
2005-05-28,2005,5,148,0.75,16.553,
2005-05-28,2005,5,148,1.00,15.934,
2005-05-28,2005,5,148,1.25,14.059,
2005-05-28,2005,5,148,1.50,12.223,
2005-05-28,2005,5,148,1.75,10.717,
2005-05-28,2005,5,148,2.00,,"C"
2005-05-28,2005,5,148,2.25,8.707,
2005-05-29,2005,5,149,0.00,,"C"
2005-05-29,2005,5,149,0.25,18.396,
2005-05-29,2005,5,149,0.50,18.615,
2005-05-29,2005,5,149,0.75,16.964,
2005-05-29,2005,5,149,1.00,16.144,
2005-05-29,2005,5,149,1.25,14.446,
2005-05-29,2005,5,149,1.50,12.647,
2005-05-29,2005,5,149,1.75,11.037,
2005-05-29,2005,5,149,2.00,,"C"
2005-05-29,2005,5,149,2.25,8.869,
2005-05-30,2005,5,150,0.00,19.524,
2005-05-30,2005,5,150,0.25,18.859,
2005-05-30,2005,5,150,0.50,19.235,
2005-05-30,2005,5,150,0.75,17.982,
2005-05-30,2005,5,150,1.00,16.749,
2005-05-30,2005,5,150,1.25,14.840,
2005-05-30,2005,5,150,1.50,13.087,
2005-05-30,2005,5,150,1.75,11.387,
2005-05-30,2005,5,150,2.00,9.943,
2005-05-30,2005,5,150,2.25,9.027,
2005-05-31,2005,5,151,0.00,20.624,
2005-05-31,2005,5,151,0.25,20.097,
2005-05-31,2005,5,151,0.50,19.960,
2005-05-31,2005,5,151,0.75,18.341,
2005-05-31,2005,5,151,1.00,17.309,
2005-05-31,2005,5,151,1.25,15.307,
2005-05-31,2005,5,151,1.50,13.553,
2005-05-31,2005,5,151,1.75,11.797,
2005-05-31,2005,5,151,2.00,,"C"
2005-05-31,2005,5,151,2.25,9.291,
2005-06-01,2005,6,152,0.00,20.926,
2005-06-01,2005,6,152,0.25,20.460,
2005-06-01,2005,6,152,0.50,20.834,
2005-06-01,2005,6,152,0.75,19.643,
2005-06-01,2005,6,152,1.00,18.010,
2005-06-01,2005,6,152,1.25,15.848,
2005-06-01,2005,6,152,1.50,14.038,
2005-06-01,2005,6,152,1.75,12.221,
2005-06-01,2005,6,152,2.00,10.657,
2005-06-01,2005,6,152,2.25,9.550,
2005-06-02,2005,6,153,0.00,22.199,
2005-06-02,2005,6,153,0.25,21.813,
2005-06-02,2005,6,153,0.50,22.105,
2005-06-02,2005,6,153,0.75,20.773,
2005-06-02,2005,6,153,1.00,18.696,
2005-06-02,2005,6,153,1.25,16.227,
2005-06-02,2005,6,153,1.50,14.336,
2005-06-02,2005,6,153,1.75,12.445,
2005-06-02,2005,6,153,2.00,,"C"
2005-06-02,2005,6,153,2.25,9.656,
2005-06-03,2005,6,154,0.00,,"C"
2005-06-03,2005,6,154,0.25,22.382,
2005-06-03,2005,6,154,0.50,22.716,
2005-06-03,2005,6,154,0.75,21.460,
2005-06-03,2005,6,154,1.00,19.473,
2005-06-03,2005,6,154,1.25,16.708,
2005-06-03,2005,6,154,1.50,14.704,
2005-06-03,2005,6,154,1.75,12.741,
2005-06-03,2005,6,154,2.00,,"C"
2005-06-03,2005,6,154,2.25,9.834,
2005-06-04,2005,6,155,0.00,22.167,
2005-06-04,2005,6,155,0.25,21.741,
2005-06-04,2005,6,155,0.50,22.148,
2005-06-04,2005,6,155,0.75,21.867,
2005-06-04,2005,6,155,1.00,19.893,
2005-06-04,2005,6,155,1.25,17.030,
2005-06-04,2005,6,155,1.50,14.933,
2005-06-04,2005,6,155,1.75,12.916,
2005-06-04,2005,6,155,2.00,,"C"
2005-06-04,2005,6,155,2.25,9.923,
2005-06-05,2005,6,156,0.00,22.430,
2005-06-05,2005,6,156,0.25,22.140,
2005-06-05,2005,6,156,0.50,22.367,
2005-06-05,2005,6,156,0.75,21.803,
2005-06-05,2005,6,156,1.00,20.359,
2005-06-05,2005,6,156,1.25,17.500,
2005-06-05,2005,6,156,1.50,15.311,
2005-06-05,2005,6,156,1.75,13.221,
2005-06-05,2005,6,156,2.00,,"C"
2005-06-05,2005,6,156,2.25,10.074,
