lakeid,year4,sample_date,station,species_code,species_name,density,individuals_measured,avg_length
"CB",2004,2004-02-27 00:00:00,1,20000,"CYCLOPOID",0.60,,
"CB",2004,2004-02-27 00:00:00,1,50700,"BOSMINIDAE",15.40,,
"CB",2004,2004-02-27 00:00:00,1,60200,"ASCOMORPHA",305.80,,
"CB",2004,2004-02-27 00:00:00,1,60400,"BRACHIONUS",0.60,,
"CB",2004,2004-02-27 00:00:00,1,61502,"GASTROPUS STYLIFER",15.10,,
"CB",2004,2004-02-27 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",45.40,,
"CB",2004,2004-02-27 00:00:00,1,61805,"KERATELLA HIEMALIS",154.60,,
"CB",2004,2004-02-27 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",85.10,,
"CB",2004,2004-02-27 00:00:00,1,61810,"KERATELLA TICINENSIS",0.60,,
"CB",2004,2004-02-27 00:00:00,1,63004,"POLYARTHRA REMATA",43.10,,
"CB",2004,2004-02-27 00:00:00,1,88888,"UNKNOWN ROTIFER",1.10,,
"CB",2004,2004-04-28 00:00:00,1,10000,"COPEPOD NAUPLII",13.40,,
"CB",2004,2004-04-28 00:00:00,1,20601,"MESOCYCLOPS EDAX",2.20,,
"CB",2004,2004-04-28 00:00:00,1,50700,"BOSMINIDAE",0.60,,
"CB",2004,2004-04-28 00:00:00,1,60203,"ASCOMORPHA SALTANS",7.80,,
"CB",2004,2004-04-28 00:00:00,1,61701,"KELLICOTTIA BOSTONIENSIS",8.10,,
"CB",2004,2004-04-28 00:00:00,1,61805,"KERATELLA HIEMALIS",23.50,,
"CB",2004,2004-04-28 00:00:00,1,61808,"KERATELLA TAUROCEPHALA",0.80,,
"CB",2004,2004-04-28 00:00:00,1,61810,"KERATELLA TICINENSIS",2.20,,
"CB",2004,2004-04-28 00:00:00,1,62400,"MONOSTYLA",0.60,,
"CB",2004,2004-04-28 00:00:00,1,63004,"POLYARTHRA REMATA",0.30,,
"CB",2004,2004-04-28 00:00:00,1,63400,"SYNCHAETA",17.10,,
"CB",2004,2004-05-27 00:00:00,1,10000,"COPEPOD NAUPLII",68.90,,
"CB",2004,2004-05-27 00:00:00,1,20000,"CYCLOPOID",10.90,,
"CB",2004,2004-05-27 00:00:00,1,20601,"MESOCYCLOPS EDAX",6.50,,
"CB",2004,2004-05-27 00:00:00,1,50700,"BOSMINIDAE",4.20,,
