YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2008-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.058,1,0.424,2,0.16,0
2008-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.058,1,0.422,51,0.16,0
2008-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.058,1,0.058,1,0.420,51,0.16,0
2008-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.058,1,0.419,51,0.16,0
2008-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.058,1,0.417,51,0.16,0
2008-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.058,1,0.058,1,0.415,51,0.16,0
2008-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.058,1,0.414,51,0.16,0
2008-01-01,8:00,88.9,125.1,8,413,2,1,9,61,1,21,1,1,9,1,28,0,31,1,28,2,10,35,16,1,10,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.067,1,0.412,51,0.16,0
2008-01-01,9:00,84.0,132.3,149,1415,82,0,9,450,0,21,35,0,9,61,24,232,27,37,24,66,10,379,16,26,10,-9900,99,-9900,99,-9900,99,0.4,3,0.058,1,0.067,1,0.410,51,0.16,0
2008-01-01,10:00,77.1,144.4,315,1415,214,0,9,723,0,21,53,0,9,166,25,475,28,61,25,183,10,637,16,41,10,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.067,1,0.408,51,0.16,0
2008-01-01,11:00,72.1,157.8,435,1415,312,0,9,818,0,21,61,0,9,280,24,749,27,50,24,280,10,749,16,50,10,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.067,1,0.406,51,0.16,0
2008-01-01,12:00,69.4,172.1,498,1415,365,0,9,855,0,21,64,0,9,333,25,733,28,75,25,334,10,794,16,55,10,-9900,99,-9900,99,-9900,99,0.4,3,0.058,1,0.067,1,0.405,51,0.16,0
2008-01-01,13:00,69.3,186.8,500,1415,367,0,9,855,0,21,65,0,9,293,25,540,28,102,25,336,10,795,16,55,10,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.067,1,0.403,51,0.16,0
2008-01-01,14:00,71.8,201.2,442,1415,317,0,9,822,0,21,60,0,9,222,24,302,27,128,24,286,10,753,16,51,10,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.067,1,0.401,51,0.16,0
2008-01-01,15:00,76.6,214.6,327,1415,205,0,9,690,0,21,46,0,9,129,25,101,28,106,25,191,10,648,16,42,10,-9900,99,-9900,99,-9900,99,0.4,3,0.058,1,0.067,1,0.400,51,0.16,0
