lakeid,year4,daynum,sampledate,rep,sta,depth,chlor,phaeo,flagchlor,flagphaeo
"CB",2005,12,2005-01-12,1,1,0.00,242.3,55.4,,
"CB",2005,12,2005-01-12,1,1,1.00,51.2,20.1,,
"CB",2005,12,2005-01-12,1,1,2.00,33.9,11.9,,
"CB",2005,12,2005-01-12,2,1,2.00,37.2,11.9,,
"CB",2005,59,2005-02-28,1,1,0.00,8.8,-1.3,,"K"
"CB",2005,59,2005-02-28,1,1,1.00,11.2,8.1,,
"CB",2005,59,2005-02-28,1,1,2.00,17.1,18.4,,
"CB",2005,59,2005-02-28,2,1,2.00,17.6,15.6,,
"CB",2005,90,2005-03-31,1,1,0.00,34.0,7.5,,"L"
"CB",2005,90,2005-03-31,2,1,0.00,36.1,3.8,,"L"
"CB",2005,90,2005-03-31,1,1,1.00,48.5,-15.3,,"K"
"CB",2005,90,2005-03-31,1,1,2.00,74.4,-26.5,,"K"
"CB",2005,108,2005-04-18,1,1,0.00,14.0,2.5,,
"CB",2005,108,2005-04-18,1,1,1.00,17.6,2.9,,
"CB",2005,108,2005-04-18,1,1,2.00,21.6,5.1,"L","L"
"CB",2005,108,2005-04-18,2,1,2.00,13.6,2.4,"L","L"
"CB",2005,124,2005-05-04,1,1,0.00,11.7,3.0,,"L"
"CB",2005,124,2005-05-04,2,1,0.00,13.2,-0.7,,"L"
"CB",2005,124,2005-05-04,1,1,1.00,18.3,2.2,,
"CB",2005,124,2005-05-04,1,1,2.00,10.3,3.9,,
"CB",2005,137,2005-05-17,1,1,0.00,12.2,3.9,,
"CB",2005,137,2005-05-17,1,1,1.00,25.7,-1.4,,"K"
"CB",2005,137,2005-05-17,1,1,2.00,17.8,5.3,,"L"
"CB",2005,137,2005-05-17,2,1,2.00,21.2,-0.3,,"L"
"CB",2005,153,2005-06-02,1,1,0.00,2.0,1.4,,
"CB",2005,153,2005-06-02,2,1,0.00,2.9,1.4,,
"CB",2005,153,2005-06-02,1,1,1.00,10.3,6.7,,
"CB",2005,153,2005-06-02,1,1,2.00,13.2,19.5,,
"CB",2005,166,2005-06-15,1,1,0.00,3.4,2.3,,
"CB",2005,166,2005-06-15,1,1,1.00,17.2,1.7,,
"CB",2005,166,2005-06-15,1,1,2.00,34.1,16.7,,
"CB",2005,166,2005-06-15,2,1,2.00,32.5,16.7,,
"CB",2005,180,2005-06-29,1,1,0.00,11.6,2.3,"L",
"CB",2005,180,2005-06-29,2,1,0.00,15.2,1.4,"L",
"CB",2005,180,2005-06-29,1,1,1.00,30.0,1.2,,
"CB",2005,180,2005-06-29,1,1,2.00,42.0,14.9,,
"CB",2005,194,2005-07-13,1,1,0.00,5.1,1.0,,
"CB",2005,194,2005-07-13,1,1,1.00,39.2,4.0,,
"CB",2005,194,2005-07-13,1,1,2.00,17.7,11.8,"L",
"CB",2005,194,2005-07-13,2,1,2.00,11.5,9.9,"L",
