index1	index2	LSA	lag	p.valueBound
Otu0002	Otu0045	0.883038	0	0
Otu0002	Otu0059	0.81263	0	0
Otu0002	Otu0257	0.85839	0	0
Otu0002	Otu0803	0.801294	0	0
Otu0005	Otu0735	0.78671	0	0
Otu0005	Otu0739	0.769255	0	0
Otu0005	Otu3943	0.770695	0	0
Otu0005	Otu6224	0.787418	0	0
Otu0008	Otu0062	0.801481	0	0
Otu0008	Otu0247	0.826592	0	0
Otu0008	Otu1707	0.785192	0	0
Otu0016	Otu0021	0.83282	0	0
Otu0016	Otu0047	0.796898	0	0
Otu0016	Otu0537	0.78252	0	0
Otu0016	Otu0583	0.880825	0	0
Otu0016	Otu1341	0.840461	0	0
Otu0016	Otu1707	0.871186	0	0
Otu0017	Otu0062	0.897099	0	0
Otu0017	Otu2717	0.7923	0	0
Otu0021	Otu0583	0.78755	0	0
Otu0021	Otu1341	0.773105	0	0
Otu0021	Otu1707	0.817047	0	0
Otu0028	Otu0067	0.853642	0	0
Otu0028	Otu0116	0.874199	0	0
Otu0028	Otu0217	0.828302	0	0
Otu0028	Otu0224	0.873616	0	0
Otu0028	Otu0342	0.873702	0	0
Otu0028	Otu0569	0.870958	0	0
Otu0028	Otu0908	0.873973	0	0
Otu0028	Otu1362	0.854445	0	0
Otu0028	Otu2294	0.861346	0	0
Otu0028	Otu2710	0.899829	0	0
Otu0028	Otu2879	0.870582	0	0
Otu0028	Otu3585	0.873753	0	0
Otu0028	Otu4475	0.966609	0	0
Otu0038	Otu0059	0.789824	0	0
Otu0038	Otu0462	0.890478	0	0
Otu0038	Otu1380	0.918519	0	0
Otu0038	Otu4796	0.886289	0	0
Otu0039	Otu0081	0.834642	0	0
Otu0039	Otu0231	0.845215	0	0
Otu0039	Otu0390	0.963978	0	0
Otu0039	Otu0488	0.956046	0	0
Otu0039	Otu0719	0.961873	0	0
Otu0039	Otu1194	0.960959	0	0
Otu0039	Otu1473	0.983118	0	0
Otu0040	Otu0398	0.760257	0	0
Otu0045	Otu0059	0.849865	0	0
Otu0045	Otu0257	0.952622	0	0
Otu0045	Otu1031	0.83516	0	0
Otu0045	Otu1073	0.803364	0	0
Otu0047	Otu1341	0.896925	0	0
Otu0047	Otu1707	0.908844	0	0
Otu0059	Otu0257	0.872784	0	0
Otu0060	Otu0353	0.76125	0	0
Otu0062	Otu0247	0.803519	0	0
Otu0067	Otu0116	0.97083	0	0
Otu0067	Otu0217	0.913022	0	0
Otu0067	Otu0224	0.966362	0	0
Otu0067	Otu0342	0.970966	0	0
Otu0067	Otu0569	0.963872	0	0
Otu0067	Otu0908	0.971091	0	0
Otu0067	Otu1362	0.944383	0	0
Otu0067	Otu2294	0.951902	0	0
Otu0067	Otu2710	0.969384	0	0
Otu0067	Otu2879	0.971773	0	0
Otu0067	Otu3585	0.971679	0	0
Otu0067	Otu4475	0.820589	0	0
Otu0074	Otu0131	0.79682	0	0
Otu0074	Otu0338	0.778741	0	0
Otu0074	Otu0489	0.950872	0	0
Otu0074	Otu1420	0.917114	0	0
Otu0074	Otu1673	0.788528	0	0
Otu0081	Otu0231	0.779987	0	0
Otu0081	Otu0390	0.825855	0	0
Otu0081	Otu0488	0.825706	0	0
Otu0081	Otu0719	0.820117	0	0
Otu0081	Otu1194	0.82857	0	0
Otu0081	Otu1473	0.8352	0	0
Otu0094	Otu0494	0.818923	0	0
Otu0094	Otu0567	0.756754	0	0
Otu0094	Otu0766	0.796475	0	0
