"","sample","UnifracW","Date"
"1","NSH01OCT07.R1",0.33723358,2007-10-01
"2","NSH01OCT07.R2",0.32427718,2007-10-01
"3","NSH03JUL07.R1",0.3211828,2007-07-03
"4","NSH03JUL07.R2",0.30630876,2007-07-03
"5","NSH05JUL07.R1",0.30811284,2007-07-05
"6","NSH05JUL07.R2",0.30329246,2007-07-05
"7","NSH07AUG07.R1",0.33034778,2007-08-07
"8","NSH07AUG07.R2",0.32785414,2007-08-07
"9","NSH07NOV07",0.29044052,2007-11-07
"10","NSH08JUN07",0.24127948,2007-06-08
"11","NSH09AUG07",0.31397706,2007-08-09
"12","NSH10SEP07.R1",0.33445102,2007-09-10
"13","NSH10SEP07.R2",0.33025266,2007-09-10
"14","NSH11JUL07",0.27830412,2007-07-11
"15","NSH11JUN07.R1",0.29553268,2007-06-11
"16","NSH11JUN07.R2",0.29441644,2007-06-11
"17","NSH13JUL07.R1",0.32675124,2007-07-13
"18","NSH13JUL07.R2",0.32138422,2007-07-13
"19","NSH15OCT07.R1",0.2663223,2007-10-15
"20","NSH15OCT07.R2",0.264755,2007-10-15
"21","NSH16JUL07",0.32847356,2007-07-16
"22","NSH17SEP07",0.33383334,2007-09-17
"23","NSH19JUL07",0.22325848,2007-07-19
"24","NSH19JUN07.R1",0.30656322,2007-06-19
"25","NSH19JUN07.R2",0.2975889,2007-06-19
"26","NSH21AUG07",0.32603776,2007-08-21
"27","NSH22JUN07.R1",0.2903886,2007-06-22
"28","NSH22JUN07.R2",0.28030054,2007-06-22
"29","NSH22OCT07.R1",0.29566682,2007-10-22
"30","NSH22OCT07.R2",0.2845939,2007-10-22
"31","NSH23AUG07",0.32961234,2007-08-23
"32","NSH25SEP07.R1",0.35470214,2007-09-25
"33","NSH25SEP07.R2",0.33744868,2007-09-25
"34","NSH27AUG07.R1",0.29313972,2007-08-27
"35","NSH27AUG07.R2",0.29329182,2007-08-27
"36","NSH27JUN07",0.29218084,2007-06-27
"37","NSH29MAY07.R1",0.28218694,2007-05-29
"38","NSH29MAY07.R2",0.28042228,2007-05-29
"39","NSH30OCT07.R1",0.30126912,2007-10-30
"40","NSH30OCT07.R2",0.2980362,2007-10-30
