"","sample","UnifracW","Date"
"1","SSH01OCT07.R1",0.39794258,2007-10-01
"2","SSH01OCT07.R2",0.38209062,2007-10-01
"3","SSH03JUL07",0.3808768,2007-07-03
"4","SSH05JUL07.R1",0.41464452,2007-07-05
"5","SSH05JUL07.R2",0.41564968,2007-07-05
"6","SSH06JUN07",0.34738298,2007-06-06
"7","SSH07AUG07",0.37398098,2007-08-07
"8","SSH07NOV07.R1",0.40346028,2007-11-07
"9","SSH07NOV07.R2",0.39507988,2007-11-07
"10","SSH09AUG07.R1",0.3884769,2007-08-09
"11","SSH09AUG07.R2",0.38530638,2007-08-09
"12","SSH10SEP07.R1",0.39426538,2007-09-10
"13","SSH10SEP07.R2",0.39396094,2007-09-10
"14","SSH11JUL07",0.4030744,2007-07-11
"15","SSH13JUL07.R1",0.41258374,2007-07-13
"16","SSH13JUL07.R2",0.40613376,2007-07-13
"17","SSH14JUN07",0.36121046,2007-06-14
"18","SSH15OCT07",0.4398992,2007-10-15
"19","SSH16JUL07.R1",0.42174228,2007-07-16
"20","SSH16JUL07.R2",0.41325288,2007-07-16
"21","SSH19JUL07.R1",0.35847038,2007-07-19
"22","SSH19JUL07.R2",0.3478316,2007-07-19
"23","SSH19JUN07.R1",0.37233882,2007-06-19
"24","SSH19JUN07.R2",0.36812634,2007-06-19
"25","SSH21AUG07.R1",0.40408886,2007-08-21
"26","SSH21AUG07.R2",0.39516838,2007-08-21
"27","SSH22JUN07.R1",0.39010668,2007-06-22
"28","SSH22JUN07.R2",0.37172914,2007-06-22
"29","SSH22OCT07.R1",0.43910386,2007-10-22
"30","SSH22OCT07.R2",0.43244672,2007-10-22
"31","SSH23AUG07.R1",0.41373344,2007-08-23
"32","SSH23AUG07.R2",0.40600954,2007-08-23
"33","SSH24JUL07",0.38738234,2007-07-24
"34","SSH24SEP07",0.38290142,2007-09-24
"35","SSH25JUN07.R1",0.39471938,2007-06-25
"36","SSH25JUN07.R2",0.39035538,2007-06-25
"37","SSH27AUG07.R1",0.36880942,2007-08-27
"38","SSH27AUG07.R2",0.37481764,2007-08-27
"39","SSH27JUN07",0.36149092,2007-06-27
"40","SSH29JUL07.R1",0.39190314,2007-07-29
"41","SSH29JUL07.R2",0.38124118,2007-07-29
"42","SSH30SEP07.R1",0.44511712,2007-09-30
"43","SSH30SEP07.R2",0.44365192,2007-09-30
"44","SSH31JUL07.R1",0.38680954,2007-07-31
"45","SSH31JUL07.R2",0.37886672,2007-07-31
