"","sample","UnifracW","Date"
"1","TBH01JUN05",0.38593205,2005-06-01
"2","TBH03AUG05",0.3965556,2005-08-03
"3","TBH04NOV05",0.44984095,2005-11-04
"4","TBH04OCT05",0.35670895,2005-10-04
"5","TBH06JUL05",0.4220906,2005-07-06
"6","TBH08JUN05",0.40945005,2005-06-08
"7","TBH09OCT05",0.34502445,2005-10-09
"8","TBH11AUG05",0.3890845,2005-08-11
"9","TBH13JUL05",0.4117263,2005-07-13
"10","TBH13SEP05",0.36427595,2005-09-13
"11","TBH15JUN05",0.4337211,2005-06-15
"12","TBH17OCT05",0.43218255,2005-10-17
"13","TBH18AUG05",0.37589335,2005-08-18
"14","TBH19NOV05",0.32013695,2005-11-19
"15","TBH20JUL05",0.4076744,2005-07-20
"16","TBH20SEP05",0.37058155,2005-09-20
"17","TBH22JUN05",0.4041451,2005-06-22
"18","TBH24AUG05",0.3746758,2005-08-24
"19","TBH25SEP05",0.346146,2005-09-25
"20","TBH27JUL05",0.4010869,2005-07-27
"21","TBH29JUN05",0.41696515,2005-06-29
"22","TBH30AUG05",0.36445,2005-08-30
