index1	index2	LSA	lag	p-valueBound	
0	69	0.388895	0	0	
0	289	0.390578	0	0	
0	297	0.391779	0	0	
0	412	0.388343	0	0	
0	480	0.391969	0	0	
2	115	-0.398413	0	0	
2	130	0.39238	0	0	
2	297	-0.405777	0	0	
2	368	0.501405	0	0	
2	377	0.393268	0	0	
2	391	0.434123	0	0	
2	397	-0.407368	0	0	
2	404	0.424266	0	0	
3	182	0.388584	0	0	
4	5	0.606287	0	0	
4	11	0.461133	0	0	
4	17	-0.470968	0	0	
4	20	-0.510409	0	0	
4	22	-0.429552	0	0	
4	37	-0.393571	0	0	
4	39	-0.493439	0	0	
4	42	0.462833	0	0	
4	57	-0.548413	0	0	
4	60	-0.47024	0	0	
4	80	0.462833	0	0	
4	88	-0.398025	0	0	
4	93	0.505809	0	0	
4	97	-0.499972	0	0	
4	106	0.408332	0	0	
4	109	-0.389654	0	0	
4	115	-0.477175	0	0	
4	138	0.389388	0	0	
4	140	0.447478	0	0	
4	150	-0.395783	0	0	
4	156	0.456431	0	0	
4	158	0.705916	0	0	
4	165	-0.468826	0	0	
4	174	-0.465637	0	0	
4	199	0.476192	0	0	
4	200	-0.401969	0	0	
4	221	0.415992	0	0	
4	225	0.428511	0	0	
4	235	0.405474	0	0	
4	236	0.392135	0	0	
4	240	0.42879	0	0	
4	242	0.457348	0	0	
4	246	0.513286	0	0	
4	249	0.441598	0	0	
4	251	0.628299	0	0	
4	252	0.524369	0	0	
4	261	-0.417665	0	0	
4	262	-0.461126	0	0	
4	270	-0.431252	0	0	
4	271	-0.503684	0	0	
4	274	0.394483	0	0	
4	280	0.406913	0	0	
4	282	-0.399446	0	0	
4	287	0.410743	0	0	
4	289	-0.396093	0	0	
4	293	0.432898	0	0	
4	299	-0.399586	0	0	
4	311	0.44661	0	0	
4	321	-0.578686	0	0	
4	322	-0.783073	0	0	
4	323	-0.405737	0	0	
4	324	0.626108	0	0	
4	335	0.393729	0	0	
4	347	-0.453288	0	0	
4	348	0.402366	0	0	
4	353	-0.390909	0	0	
4	356	-0.438767	0	0	
4	358	-0.391792	0	0	
4	362	-0.393285	0	0	
4	376	0.415235	0	0	
4	378	0.424764	0	0	
4	383	0.499605	0	0	
4	384	0.606221	0	0	
4	397	0.517172	0	0	
4	406	0.466622	0	0	
4	407	-0.532047	0	0	
4	418	-0.540046	0	0	
4	421	0.461483	0	0	
4	448	-0.390435	0	0	
4	449	0.482686	0	0	
4	454	0.41907	0	0	
4	455	0.448198	0	0	
4	457	0.393759	0	0	
4	458	-0.47484	0	0	
4	460	-0.402519	0	0	
4	471	0.657833	0	0	
4	483	0.464145	0	0	
4	486	0.417285	0	0	
5	28	0.396273	0	0	
5	82	0.467615	0	0	
5	93	0.54466	0	0	
5	97	-0.447004	0	0	
5	100	0.388819	0	0	
5	106	0.413114	0	0	
5	142	-0.442623	0	0	
5	158	0.645638	0	0	
5	199	0.506131	0	0	
5	217	0.392582	0	0	
5	221	0.473274	0	0	
5	225	0.432014	0	0	
5	235	0.392238	0	0	
5	236	0.431277	0	0	
5	246	0.519324	0	0	
5	249	0.485422	0	0	
5	251	0.588418	0	0	
5	252	0.409965	0	0	
5	262	-0.458711	0	0	
5	274	0.478751	0	0	
5	288	0.427375	0	0	
5	293	0.394144	0	0	
5	321	-0.589876	0	0	
5	322	-0.591668	0	0	
5	324	0.589266	0	0	
5	335	0.428758	0	0	
5	339	0.398378	0	0	
5	347	-0.444067	0	0	
5	378	0.40299	0	0	
5	383	0.43739	0	0	
5	384	0.507589	0	0	
5	397	0.513498	0	0	
5	406	0.536536	0	0	
5	417	-0.389961	0	0	
5	418	-0.430255	0	0	
5	449	0.443192	0	0	
5	454	0.426726	0	0	
5	458	-0.412316	0	0	
5	471	0.618607	0	0	
5	483	0.533024	0	0	
6	39	0.48186	0	0	
6	50	0.445564	0	0	
6	57	0.518322	0	0	
6	60	0.495417	0	0	
6	62	0.419808	0	0	
6	97	0.442451	0	0	
6	109	0.388424	0	0	
6	134	0.453751	0	0	
6	142	0.505305	0	0	
6	160	-0.471196	0	0	
6	174	0.441769	0	0	
6	200	0.427722	0	0	
6	231	-0.417221	0	0	
6	258	0.552279	0	0	
6	261	0.440614	0	0	
6	262	0.43509	0	0	
6	270	0.454063	0	0	
6	276	0.391088	0	0	
6	293	-0.491275	0	0	
6	299	0.404463	0	0	
6	323	0.393662	0	0	
6	327	0.4743	0	0	
6	347	0.439979	0	0	
6	390	0.424006	0	0	
6	397	-0.521076	0	0	
6	407	0.46474	0	0	
6	408	-0.397011	0	0	
6	417	0.4959	0	0	
6	448	0.405103	0	0	
6	453	0.406223	0	0	
7	20	0.39221	0	0	
7	31	0.505743	0	0	
7	33	-0.454672	0	0	
7	69	0.519443	0	0	
7	115	0.496705	0	0	
7	119	0.406091	0	0	
7	129	-0.464785	0	0	
7	148	0.410444	0	0	
7	149	-0.489218	0	0	
7	154	0.497743	0	0	
7	160	0.452677	0	0	
7	188	0.482738	0	0	
7	192	0.57031	0	0	
7	193	-0.443094	0	0	
7	202	0.476241	0	0	
7	209	-0.474696	0	0	
7	231	0.505576	0	0	
7	232	0.422878	0	0	
7	241	0.396569	0	0	
7	243	0.480728	0	0	
7	256	-0.401088	0	0	
7	262	-0.390564	0	0	
7	276	-0.395529	0	0	
7	279	0.509761	0	0	
7	292	-0.444329	0	0	
7	293	0.486483	0	0	
7	297	0.598419	0	0	
7	298	0.477666	0	0	
7	310	0.4194	0	0	
7	320	0.390129	0	0	
7	327	-0.416196	0	0	
7	334	-0.43463	0	0	
7	347	-0.423851	0	0	
7	359	0.47186	0	0	
7	385	-0.400359	0	0	
7	387	0.388642	0	0	
7	388	-0.410522	0	0	
7	397	0.432413	0	0	
7	400	0.518642	0	0	
7	408	0.520441	0	0	
7	412	0.66851	0	0	
7	417	-0.396159	0	0	
7	476	0.417878	0	0	
7	477	0.499735	0	0	
8	22	0.428094	0	0	
8	57	0.425356	0	0	
8	60	0.440414	0	0	
8	142	0.413825	0	0	
8	174	0.449372	0	0	
8	226	-0.514662	0	0	
8	261	0.448501	0	0	
8	262	0.444438	0	0	
8	293	-0.474387	0	0	
8	356	0.417219	0	0	
8	368	0.389613	0	0	
8	397	-0.442705	0	0	
9	170	0.480835	0	0	
9	242	0.403573	0	0	
9	381	0.404181	0	0	
9	469	0.403102	0	0	
